from,to,attckTechniqueID,attckTacticID,label
460568,1572912,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
67352,1638448,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
459800,1769672,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
68920,1835208,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
66368,1900744,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
132632,1704288,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
65888,1769824,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
1248568,1900896,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
590656,1966432,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
721096,2031968,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
590656,1508160,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
721096,1573696,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
196960,918552,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
590656,1049624,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
66584,1705280,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
262496,1901888,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
721728,2032960,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
131904,1836488,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
67016,2098712,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
721096,2295320,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
787264,919320,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
591640,984856,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
65736,1050392,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
1248568,1181464,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
132552,1903928,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
265528,2035000,T1078,TA0004,IDENTITY_ASSUME (Identity to Container)
