from,to,attckTechniqueID,attckTacticID,label
1902024,1507376,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2031816,1507376,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2163040,1572912,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1247000,1638448,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2162888,1769672,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2360856,1835208,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2231608,1900744,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1508376,1966280,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1640216,1966280,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2557464,1966280,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2623000,1966280,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2688536,1966280,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1703984,1704288,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1180696,1769824,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1966912,1900896,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1442840,1966432,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1574680,1966432,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1967560,1966432,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2031664,1966432,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2493752,1966432,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2163520,2031968,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2228272,2031968,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2819608,2031968,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2755896,2097504,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1311768,1508160,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1377304,1508160,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1443608,1508160,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1509144,1508160,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2428216,1508160,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1705752,1573696,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1771288,1573696,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2162736,1573696,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2426392,918552,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1378072,1049624,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2228424,1049624,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2297144,1049624,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2362680,1049624,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2491928,1049624,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2097352,1705280,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2228576,1901888,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1835840,1967424,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2164032,2032960,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2098496,1836488,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1115160,2033176,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1770304,2098712,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1900592,2229784,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1966128,2229784,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1573912,2295320,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2097984,2295320,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2754072,2295320,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1769520,919320,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1704768,984856,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1835056,1050392,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1312536,1181464,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2166072,1903928,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1246232,2035000,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
1901376,2035000,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2032448,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2097200,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2293960,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2359496,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2559288,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2624824,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
2690360,2100536,T1613,TA0007,VOLUME_DISCOVER (Volume to Container)
