from,to,attckTechniqueID,attckTacticID,label
527672,65584,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
590024,131120,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
525632,589872,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
853448,655408,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
524336,720944,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1117496,786480,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
917552,852016,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
393568,65736,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
460096,131272,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
591304,131272,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1314104,131272,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1445176,131272,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
590176,196808,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
460096,262344,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
197952,721096,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
920888,852168,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
983088,852168,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1048928,852168,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
327728,917704,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
918984,1048776,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
984520,1114312,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
657176,1179848,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
722712,1245384,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
196656,65888,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
132888,131424,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
197656,196960,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
329024,262496,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
262976,655712,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
329160,655712,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
329496,655712,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
394048,655712,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
394696,655712,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
656920,655712,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
395032,852320,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
786784,917856,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1114464,983392,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
262192,66368,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
394776,131904,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
590176,197440,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
327880,459584,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
462136,590656,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
394048,656192,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
656920,656192,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
658744,656192,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
724280,656192,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
460232,721728,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
787992,721728,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
263704,787264,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
394560,918336,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
986424,983872,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
721248,1114944,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
983240,1180480,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
458952,66584,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
590176,132120,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
591304,132120,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1443352,132120,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
263488,459800,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
525848,525336,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
393264,590872,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1049408,656408,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
198168,66880,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
722456,722240,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
591168,787776,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
656704,853312,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1050136,918848,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1312200,984384,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1379640,1049920,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
396600,67016,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
855352,132552,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
722376,198088,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
328728,263624,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
132416,787912,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
591384,1050056,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
394264,1181128,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
1115592,1246664,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
393416,67096,T1069,TA0007,PERMISSION_DISCOVER (PermissionSet to Identity)
