from,to,attckTacticID,attckTechniqueID,label
1508672,1180000,TA0002,T1609,POD_ATTACH (Pod to Node)
1838392,1180000,TA0002,T1609,POD_ATTACH (Pod to Node)
721944,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
787480,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
853784,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1115456,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1179696,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1180992,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1245232,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1246016,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1246528,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1310768,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1311552,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1312064,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1376608,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1377088,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1377600,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1377736,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1441992,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1442144,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1443136,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1443272,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1507528,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1507680,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1508808,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1573064,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1573216,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1574208,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1574344,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1576248,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1771032,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1772856,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1836568,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1902104,1245536,TA0002,T1609,POD_ATTACH (Pod to Node)
1376304,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1442624,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1638600,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1638752,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1639880,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1641784,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1704136,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1707320,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
1967640,1639960,TA0002,T1609,POD_ATTACH (Pod to Node)
