from,to,attckTacticID,attckTechniqueID,label
327880,327880,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
786632,786632,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
786784,786784,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
525120,525120,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
132416,132416,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
853448,853448,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
591384,591384,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
787992,787992,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
1050136,1050136,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
1508888,1508888,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
855352,855352,TA0002,T1610,POD_CREATE (PermissionSet to PermissionSet)
