from,to,attckTechniqueID,attckTacticID,label
721944,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
787480,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
853784,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1115456,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1179696,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1180992,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1245232,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1246016,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1246528,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1310768,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1311552,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1312064,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1376608,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1377088,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1377600,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1377736,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1441992,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1442144,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1443136,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1443272,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1507528,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1507680,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1508808,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1573064,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1574344,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1576248,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1771032,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1836568,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
1902104,458952,T1609,TA0002,POD_EXEC (Pod to PermissionSet)
