from,to,attckTacticID,attckTechniqueID,label
721944,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
787480,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
853784,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1115456,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1179696,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1180992,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1245232,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1246016,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1246528,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1310768,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1311552,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1312064,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1376608,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1377088,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1377600,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1377736,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1441992,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1442144,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1443136,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1443272,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1507528,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1507680,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1508808,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1573064,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1574344,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1576248,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1771032,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1836568,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1902104,394776,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
1442624,787992,TA0002,T1609,POD_PATCH (Pod to PermissionSet)
