from,to,attckTechniqueID,attckTacticID,label
132888,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
196656,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
197656,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
198168,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
198424,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
262192,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
263192,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
328728,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
329024,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
329240,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
329496,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
393416,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
393568,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394048,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394776,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
396600,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
458952,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
460096,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
460312,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
525768,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
527672,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
590024,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
590176,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
591304,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
593208,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
656920,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
722376,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
787992,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
789816,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
855352,328032,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
132416,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
197952,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
262976,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
263960,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
327728,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
327880,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
328512,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
329160,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
393264,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394264,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394560,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394696,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
395032,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
460232,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
462136,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
524336,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
524488,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
525120,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
525632,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
525848,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
526104,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
591168,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
591384,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
655560,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
656704,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
656840,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
658744,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
721248,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
722456,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
722712,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
786632,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
786784,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
852800,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
853448,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
917552,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
918984,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
983088,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
984520,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
986424,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1049408,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1050136,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1114464,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1117496,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1310920,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1312200,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1314104,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1379640,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1443352,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1445176,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
1508888,459104,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
132416,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
197952,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
262976,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
263960,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
327728,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
327880,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
328512,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
329160,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
393264,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394264,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
394560,524640,T1078,TA0004,ROLE_BIND (PermissionSet to PermissionSet)
