from,to,attckTechniqueID,attckTacticID,label
131120,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
196808,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
197440,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
198088,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
262344,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
263624,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
525336,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
589872,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
590656,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
590872,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
655408,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
656408,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
720944,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
721096,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
722240,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
786480,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
787776,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
788248,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
852320,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
853312,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
853528,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
917704,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
917856,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
918336,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
918848,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
919064,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
983392,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
983872,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
984600,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1048776,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1050056,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1051960,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1114312,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1114944,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1115672,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1179848,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1180480,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1181128,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1181208,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1183032,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1245384,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1246664,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1246744,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1248568,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
1312280,590024,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
131120,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
196808,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
197440,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
198088,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
262344,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
263624,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
525336,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
589872,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
590656,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
590872,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
655408,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
656408,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
720944,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
721096,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
722240,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
786480,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
787776,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
788248,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
852320,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
853312,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
853528,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
917704,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
917856,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
918336,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
918848,328728,T1528,TA0006,TOKEN_LIST (Identity to PermissionSet)
