from,to,attckTacticID,attckTechniqueID,label
132632,1703984,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
787264,1769520,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
65736,1835056,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
66584,2097352,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
459800,2162888,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
460568,2163040,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
262496,2228576,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
591640,1704768,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
67016,1770304,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
265528,1901376,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
1248568,1966912,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
721096,2163520,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
65888,1180696,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
721096,1573912,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
131904,2098496,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
721728,2164032,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
68920,2360856,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
196960,2426392,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
67352,1247000,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
1248568,1312536,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
590656,1378072,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
590656,1509144,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
721096,1771288,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
132552,2166072,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
66368,2231608,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
590656,2493752,TA0006,T1552,TOKEN_STEAL (Identity to Volume)
