app,cluster,isNamespaced,mountPath,team,storeID,type,readonly,service,name,namespace,runID,class,sourcePath,id,label
kubehound-edge-test,kind-kubehound.test.local,true,/hostssh/,,686cdf53dce18c406e3d26f3,HostPath,true,,host-ssh,default,01jzmmdybqgekbn439fjdz6she,Volume,/root/.ssh,1902024,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/hostpods/,,686cdf53dce18c406e3d26f4,HostPath,true,,host-pod-dir,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods,2031816,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2714,Projected,true,,kube-api-access-z5gzq,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/257c8255-eb92-41ec-8b89-1d9e29b331de/volumes/kubernetes.io~projected/kube-api-access-z5gzq/token,2163040,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d272c,Projected,true,,kube-api-access-5z7sb,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/adeb51eb-ec69-4eb2-8074-4adabbc33972/volumes/kubernetes.io~projected/kube-api-access-5z7sb/token,1247000,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d26fc,Projected,true,,kube-api-access-qcbd6,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/378cdcfc-7f39-4d9b-88f4-3a2455d8897f/volumes/kubernetes.io~projected/kube-api-access-qcbd6/token,1703984,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2717,Projected,true,,kube-api-access-s9gss,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/57dadeb2-6fef-4629-802a-c09b3f05ad6c/volumes/kubernetes.io~projected/kube-api-access-s9gss/token,1769520,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2729,Projected,true,,kube-api-access-67g7d,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/4eed49ad-7ba6-43bd-b0ea-473ee56678f3/volumes/kubernetes.io~projected/kube-api-access-67g7d/token,1835056,Volume
,kind-kubehound.test.local,true,/var/lib/etcd,,686cdf53dce18c406e3d275d,HostPath,false,,etcd-data,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/etcd,1900592,Volume
,kind-kubehound.test.local,true,/etc/kubernetes/pki/etcd,,686cdf53dce18c406e3d275e,HostPath,false,,etcd-certs,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/kubernetes/pki/etcd,1966128,Volume
,kind-kubehound.test.local,true,/run/xtables.lock,,686cdf53dce18c406e3d2793,HostPath,false,,xtables-lock,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/run/xtables.lock,2228272,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d271d,Projected,true,,kube-api-access-pnnxz,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/f9127b49-7365-4d22-8acf-f02e2183b722/volumes/kubernetes.io~projected/kube-api-access-pnnxz/token,2162888,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2726,Projected,true,,kube-api-access-6d9td,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/b6ece61c-b375-4745-ad82-860048df3188/volumes/kubernetes.io~projected/kube-api-access-6d9td/token,2360856,Volume
kubehound-edge-test,kind-kubehound.test.local,true,/var/run/secrets/kubernetes.io/serviceaccount,,686cdf53dce18c406e3d2741,Projected,true,,kube-api-access-hsbqj,default,01jzmmdybqgekbn439fjdz6she,Volume,/var/lib/kubelet/pods/06acfff6-4d40-4312-8021-bad55bfbb4fd/volumes/kubernetes.io~projected/kube-api-access-hsbqj/token,2231608,Volume
,kind-kubehound.test.local,true,/usr/local/share/ca-certificates,,686cdf53dce18c406e3d2779,HostPath,true,,usr-local-share-ca-certificates,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/usr/local/share/ca-certificates,1508376,Volume
,kind-kubehound.test.local,true,/etc/kubernetes/pki,,686cdf53dce18c406e3d2778,HostPath,true,,k8s-certs,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/kubernetes/pki,1640216,Volume
,kind-kubehound.test.local,true,/etc/ssl/certs,,686cdf53dce18c406e3d2776,HostPath,true,,ca-certs,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/ssl/certs,2557464,Volume
,kind-kubehound.test.local,true,/etc/ca-certificates,,686cdf53dce18c406e3d2777,HostPath,true,,etc-ca-certificates,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/etc/ca-certificates,2623000,Volume
,kind-kubehound.test.local,true,/usr/share/ca-certificates,,686cdf53dce18c406e3d277a,HostPath,true,,usr-share-ca-certificates,kube-system,01jzmmdybqgekbn439fjdz6she,Volume,/usr/share/ca-certificates,2688536,Volume
